Variable Information,,,,,,,,,
Variable,Position,Label,Measurement Level,Role,Column Width,Alignment,Print Format,Write Format,
fav_pakistan,19,"Q3l. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? l. Pakistan",Nominal,Input,9,Right,F2,F2,
fav_bangladesh,20,"Q3m. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? m. Bangladesh",Nominal,Input,16,Right,F2,F2,
fav_rahul_gandhi,21,"Q4a. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? a. Rahul Gandhi",Nominal,Input,18,Right,F2,F2,
fav_modi,22,"Q4b. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? b. Narendra Modi",Nominal,Input,10,Right,F2,F2,
fav_netanyahu,23,"Q4c. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? c. Benjamin Netanyahu",Nominal,Input,15,Right,F2,F2,
fav_lapid,24,"Q4d. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? d. Yair Lapid",Nominal,Input,11,Right,F2,F2,
fav_gantz,25,"Q4e. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...? e. Benny Gantz",Nominal,Input,11,Right,F2,F2,
fav_obrador,26,"Q4f. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? f. Andrés Manuel López Obrador",Nominal,Input,13,Right,F2,F2,
fav_sheinbaum,27,"Q4g. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? g. Claudia Sheinbaum",Nominal,Input,15,Right,F2,F2,
fav_galvez,28,"Q4h. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? h. Xóchitl Gálvez",Nominal,Input,12,Right,F2,F2,
fav_ramaphosa,29,"Q4i. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? i. Cyril Ramaphosa",Nominal,Input,15,Right,F2,F2,
fav_steenhuisen,30,"Q4j. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? j. John Steenhuisen",Nominal,Input,17,Right,F2,F2,
fav_zuma,31,"Q4k. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? k. Jacob Zuma",Nominal,Input,10,Right,F2,F2,
fav_malema,32,"Q4l. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? l. Julius Malema",Nominal,Input,12,Right,F2,F2,
partyfav_argentina_pro,33,"Q5ARGa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. Propuesta Republicana (PRO)",Nominal,Input,30,Right,F1,F1,
partyfav_argentina_up,34,"Q5ARGb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. Union por la Patria/Peronismo",Nominal,Input,8,Right,F2,F2,
partyfav_argentina_avanza,35,"Q5ARGc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. La Libertad Avanza",Nominal,Input,27,Right,F2,F2,
partyfav_australia_labor,36,Q5AUSa. Do you have a favourable or unfavourable opinion of...? a. Labor Party (ALP),Nominal,Input,8,Right,F3,F3,
partyfav_australia_liberal,37,Q5AUSb. Do you have a favourable or unfavourable opinion of...? b. The Liberal-National Coalition,Nominal,Input,8,Right,F3,F3,
partyfav_australia_greens,38,Q5AUSc. Do you have a favourable or unfavourable opinion of...? c. The Greens,Nominal,Input,8,Right,F3,F3,
partyfav_australia_onenation,39,Q5AUSd. Do you have a favourable or unfavourable opinion of...? d. Pauline Hanson's One Nation,Nominal,Input,8,Right,F3,F3,
partyfav_brazil_pl,40,"Q5BRAa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. PL, Partido Liberal",Nominal,Input,8,Right,F2,F2,
partyfav_brazil_pt,41,"Q5BRAb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. PT, Partido dos Trabalhadores",Nominal,Input,20,Right,F1,F1,
partyfav_brazil_mdb,42,"Q5BRAc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. MDB, Movimento Democratico Brasileiro",Nominal,Input,8,Right,F2,F2,
partyfav_brazil_republicans,43,"Q5BRAd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. Republicanos",Nominal,Input,8,Right,F2,F2,
partyfav_brazil_pp,44,"Q5BRAe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? e. PP, Partido Progressista",Nominal,Input,20,Right,F1,F1,
partyfav_canada_lib,45,"Q5CANa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. Liberal Party",Nominal,Input,6,Right,F1,F1,
partyfav_canada_cons,46,"Q5CANb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. Conservative Party",Nominal,Input,6,Right,F1,F1,
partyfav_canada_ndp,47,"Q5CANc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. New Democratic Party (NDP)",Nominal,Input,6,Right,F1,F1,
partyfav_france_lesrepublicains,48,"Q5FRAa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. The Republicans - LR",Nominal,Input,8,Right,F1,F1,
partyfav_france_socialistparty,49,"Q5FRAb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. Socialist Party - PS",Nominal,Input,8,Right,F1,F1,
partyfav_france_nationalrally,50,"Q5FRAc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. National Rally - RN (formerly National Front - NF)",Nominal,Input,8,Right,F1,F1,
partyfav_france_renaissance,51,"Q5FRAd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. Renaissance - RE (formerly En Marche)",Nominal,Input,8,Right,F1,F1,
partyfav_france_insoumise,52,"Q5FRAe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? e. La France Insoumise - FI",Nominal,Input,8,Right,F1,F1,
partyfav_germany_cdu,53,"Q5DEUa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. CDU - Christian Democratic Union",Nominal,Input,8,Right,F1,F1,
partyfav_germany_spd,54,"Q5DEUb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. SPD - Social Democratic Party of Germany",Nominal,Input,8,Right,F1,F1,
partyfav_germany_afd,55,"Q5DEUc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. AfD - Alternative for Germany",Nominal,Input,8,Right,F1,F1,
partyfav_germany_greens,56,"Q5DEUd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. Alliance 90/The Greens",Nominal,Input,8,Right,F1,F1,
partyfav_germany_fdp,57,"Q5DEUe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? e. FDP - Free Democratic Party",Nominal,Input,8,Right,F1,F1,
partyfav_greece_syriza,58,"Q5GRCa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. SYRIZA",Nominal,Input,8,Right,F1,F1,
partyfav_greece_newdemocracy,59,"Q5GRCb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. New Democracy",Nominal,Input,8,Right,F1,F1,
partyfav_greece_pasokkinal,60,"Q5GRCc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. PASOK - Movement for Change",Nominal,Input,8,Right,F1,F1,
partyfav_greece_solution,61,"Q5GRCd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. Greek Solution",Nominal,Input,26,Right,F2,F2,
partyfav_greece_spartans,62,"Q5GRCe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? e. Spartans",Nominal,Input,26,Right,F2,F2,
partyfav_greece_communist,63,"Q5GRCf. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? f. Communist Party of Greece",Nominal,Input,27,Right,F2,F2,
partyfav_hungary_fidesz,64,"Q5HUNa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. Fidesz",Nominal,Input,8,Right,F1,F1,
partyfav_hungary_mszp,65,"Q5HUNb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. MSZP (Hungarian Socialist Party)",Nominal,Input,8,Right,F1,F1,
partyfav_hungary_jobbik,66,"Q5HUNc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. Jobbik (Movement for a Better Hungary)",Nominal,Input,8,Right,F1,F1,
partyfav_hungary_dk,67,"Q5HUNd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. Democratic Coalition",Nominal,Input,8,Right,F8,F8,
partyfav_hungary_tisza,68,"Q5HUNe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? e. TISZA (Respect and Freedom Party)",Nominal,Input,24,Right,F2,F2,
partyfav_india_bjp,69,"Q5INDa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. Bharatiya Janata Party - BJP",Nominal,Input,20,Right,F1,F1,
partyfav_india_inc,70,"Q5INDb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. Indian National Congress - INC",Nominal,Input,20,Right,F1,F1,
partyfav_indonesia_pdip,71,"Q5IDNa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. PDI-P - Partai Demokrasi Indonesia Perjuangan",Nominal,Input,8,Right,F1,F1,
partyfav_indonesia_gerindra,72,"Q5IDNb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. Gerindra - Partai Gerakan Indonesia Raya",Nominal,Input,8,Right,F1,F1,
partyfav_indonesia_golkar,73,"Q5IDNc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. Golkar - Partai Golongan Karya",Nominal,Input,8,Right,F1,F1,
partyfav_indonesia_demokrat,74,"Q5IDNd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. Partai Demokrat",Nominal,Input,8,Right,F1,F1,
partyfav_indonesia_nasdem,75,"Q5IDNe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? e. Partai NasDem",Nominal,Input,8,Right,F1,F1,
partyfav_israel_likud,76,"Q5ISRa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. Likud",Nominal,Input,23,Right,F1,F1,
partyfav_israel_yeshatid,77,"Q5ISRb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. Yesh Atid",Nominal,Input,8,Right,F8,F8,
partyfav_israel_raam,78,"Q5ISRc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. United Arab List (Ra'am)",Nominal,Input,8,Right,F8,F8,
partyfav_israel_unity,79,"Q5ISRd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. National Unity (State Camp)",Nominal,Input,23,Right,F2,F2,
partyfav_israel_rz,80,"Q5ISRe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? e. The Religious Zionism",Nominal,Input,20,Right,F2,F2,
partyfav_israel_otzma,81,"Q5ISRf. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? f. Otzma Yehudit",Nominal,Input,23,Right,F2,F2,
partyfav_italy_forza,82,"Q5ITAa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. Forza Italia - FI",Nominal,Input,8,Right,F1,F1,
partyfav_italy_demparty,83,"Q5ITAb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. Democratic Party - PD",Nominal,Input,8,Right,F1,F1,
partyfav_italy_5star,84,"Q5ITAc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. Five Star Movement - M5S",Nominal,Input,8,Right,F1,F1,
partyfav_italy_lega,85,"Q5ITAd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. Lega (formerly Lega Nord)",Nominal,Input,8,Right,F1,F1,
partyfav_italy_fdi,86,"Q5ITAe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? e. Fratelli d'Italia - FdI",Nominal,Input,8,Right,F1,F1,
partyfav_japan_ldp,87,"Q5JPNa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. LDP (Liberal Democratic Party)",Nominal,Input,8,Right,F1,F1,
partyfav_japan_cdp,88,"Q5JPNb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. CDP (Constitutional Democratic Party)",Nominal,Input,8,Right,F1,F1,
partyfav_japan_komeito,89,"Q5JPNc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. Komeito",Nominal,Input,8,Right,F1,F1,
partyfav_japan_ishin,90,"Q5JPNd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. Japan Innovation Party",Nominal,Input,8,Right,F1,F1,
partyfav_kenya_jubilee,91,"Q5KENa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. Jubilee Party",Nominal,Input,24,Right,F1,F1,
partyfav_kenya_uda,92,"Q5KENb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. UDA - United Democratic Alliance",Nominal,Input,8,Right,F2,F2,
partyfav_kenya_odm,93,"Q5KENc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. ODM - Orange Democratic Movement",Nominal,Input,8,Right,F2,F2,
partyfav_mexico_pan,94,"Q5MEXa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. PAN - Partido Acción Nacional",Nominal,Input,21,Right,F1,F1,
partyfav_mexico_pri,95,"Q5MEXb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. PRI - Partido Revolucionario Institucional",Nominal,Input,21,Right,F1,F1,
partyfav_mexico_morena,96,"Q5MEXc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. MORENA - Movimiento de Regeneración Nacional",Nominal,Input,24,Right,F1,F1,
partyfav_mexico_prd,97,"Q5MEXd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. PRD - Partido de la Revolución Democrática",Nominal,Input,21,Right,F1,F1,
partyfav_mexico_mc,98,"Q5MEXe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? e. MC - Movimiento Ciudadano",Nominal,Input,20,Right,F2,F2,
partyfav_netherlands_vvd,99,"Q5NLDa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. People's Party for Freedom and Democracy (VVD)",Nominal,Input,8,Right,F1,F1,
partyfav_netherlands_glpvda,100,"Q5NLDb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. GroenLinks - Labour Party (GL - PvdA)",Nominal,Input,8,Right,F1,F1,
partyfav_netherlands_pvv,101,"Q5NLDc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. The Party for Freedom (PVV)",Nominal,Input,8,Right,F1,F1,
partyfav_netherlands_nsc,102,"Q5NLDd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. New Social Contract (NSC)",Nominal,Input,26,Right,F2,F2,
partyfav_netherlands_dem66,103,"Q5NLDe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? Democrats 66 (D66)",Nominal,Input,8,Right,F1,F1,
partyfav_nigeria_apc,104,"Q5NGAa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? All Progressives Congress (APC)",Nominal,Input,22,Right,F1,F1,
partyfav_nigeria_pdp,105,"Q5NGAb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. People's Democratic Party (PDP)",Nominal,Input,22,Right,F1,F1,
partyfav_nigeria_apga,106,"Q5NGAc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. All Progressive Grand Alliance (APGA)",Nominal,Input,23,Right,F1,F1,
partyfav_nigeria_lp,107,"Q5NGAd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. Labour Party (LP)",Nominal,Input,21,Right,F1,F1,
partyfav_poland_pis,108,"Q5POLa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. Law and Justice - PiS",Nominal,Input,8,Right,F1,F1,
partyfav_poland_ko,109,"Q5POLb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. Civic Coalition KO (Civic Platform - PO + Modern + The Greens + Polish initiative iPL)",Nominal,Input,8,Right,F1,F1,
partyfav_poland_lewica,110,"Q5POLc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. The Left (SLD + Spring)",Nominal,Input,8,Right,F8,F8,
partyfav_safrica_anc,111,"Q5ZAFa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. African National Congress (ANC)",Nominal,Input,22,Right,F1,F1,
partyfav_safrica_da,112,"Q5ZAFb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. Democratic Alliance (DA)",Nominal,Input,21,Right,F1,F1,
partyfav_safrica_eff,113,"Q5ZAFc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. Economic Freedom Fighters (EFF)",Nominal,Input,22,Right,F1,F1,
partyfav_safrica_mk,114,"Q5ZAFd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. uMkhonto weSizwe (MK)",Nominal,Input,21,Right,F2,F2,
partyfav_spain_pp,115,"Q5ESPa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. People's Party (PP)",Nominal,Input,8,Right,F1,F1,
partyfav_spain_psoe,116,"Q5ESPb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. Spanish Socialist Workers' Party (PSOE)",Nominal,Input,8,Right,F1,F1,
partyfav_spain_podemos,117,"Q5ESPc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. Podemos",Nominal,Input,8,Right,F1,F1,
partyfav_spain_vox,118,"Q5ESPd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. Vox",Nominal,Input,20,Right,F2,F2,
partyfav_spain_sumar,119,"Q5ESPe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? e. Sumar",Nominal,Input,22,Right,F2,F2,
partyfav_sweden_sap,120,"Q5SWEa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. Swedish Social Democratic Party (SAP)",Nominal,Input,8,Right,F1,F1,
partyfav_sweden_moderateparty,121,"Q5SWEb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. Moderate Party (M)",Nominal,Input,8,Right,F1,F1,
partyfav_sweden_swedendems,122,"Q5SWEc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. Sweden Democrats (SD)",Nominal,Input,8,Right,F1,F1,
partyfav_turkey_akp,123,"Q5TURa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. Justice and Development Party - AKP",Nominal,Input,21,Right,F2,F2,
partyfav_turkey_chp,124,"Q5TURb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. Republican People's Party - CHP",Nominal,Input,21,Right,F2,F2,
partyfav_turkey_mhp,125,"Q5TURc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. Nationalist Movement Party - MHP",Nominal,Input,21,Right,F2,F2,
partyfav_turkey_iyi,126,"Q5TURd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. Good Party - IYI Party",Nominal,Input,21,Right,F2,F2,
partyfav_turkey_dem,127,"Q5TURe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? e. People's Equality and Democracy Party - DEM Party",Nominal,Input,21,Right,F2,F2,
partyfav_uk_conservative,128,"Q5GBRa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. The Conservative Party",Nominal,Input,8,Right,F1,F1,
partyfav_uk_labour,129,"Q5GBRb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. The Labour Party",Nominal,Input,8,Right,F1,F1,
partyfav_uk_libdems,130,"Q5GBRc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. The Liberal Democrats",Nominal,Input,8,Right,F1,F1,
partyfav_uk_brexit,131,"Q5GBRd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. Reform U.K. (The Brexit Party)",Nominal,Input,20,Right,F2,F2,
fav_mazen,132,"Q6a. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? a. Abu Mazen",Nominal,Input,11,Right,F2,F2,
fav_barghouti,133,"Q6b. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? b. Marwan Barghouti",Nominal,Input,15,Right,F2,F2,
confid_trump,134,Q7a. (SHORTENED) Tell me how much confidence you have in each leader to do the right thing regarding world affairs. a. U.S. President Donald Trump,Nominal,Input,14,Right,F2,F2,
confid_trump_dk,135,Q7aAUS. How much confidence do you have in each of the following leaders to do the right thing regarding world affairs? a. U.S. President Donald Trump,Nominal,Input,8,Right,F3,F3,
confid_xi,136,Q7b. (SHORTENED) Tell me how much confidence you have in each leader to do the right thing regarding world affairs. b. Chinese President Xi Jinping,Nominal,Input,11,Right,F2,F2,
confid_xi_dk,137,Q7bAUS. How much confidence do you have in each of the following leaders to do the right thing regarding world affairs? b. Chinese President Xi Jinping,Nominal,Input,8,Right,F3,F3,
confid_putin,138,Q7c. (SHORTENED) Tell me how much confidence you have in each leader to do the right thing regarding world affairs. c. Russian President Vladimir Putin,Nominal,Input,14,Right,F2,F2,
confid_putin_dk,139,Q7cAUS. How much confidence do you have in each of the following leaders to do the right thing regarding world affairs? c. Russian President Vladimir Putin,Nominal,Input,8,Right,F3,F3,
confid_macron,140,Q7d. (SHORTENED) Tell me how much confidence you have in each leader to do the right thing regarding world affairs. d. French President Emmanuel Macron,Nominal,Input,15,Right,F2,F2,
confid_macron_dk,141,Q7dAUS. How much confidence do you have in each of the following leaders to do the right thing regarding world affairs? d. French President Emmanuel Macron,Nominal,Input,8,Right,F3,F3,
confid_netanyahu,142,Q7e. (SHORTENED) Tell me how much confidence you have in each leader to do the right thing regarding world affairs. e. Israeli Prime Minister Benjamin Netanyahu,Nominal,Input,18,Right,F2,F2,
confid_netanyahu_dk,143,Q7eAUS. How much confidence do you have in each of the following leaders to do the right thing regarding world affairs? e. Israeli Prime Minister Benjamin Netanyahu,Nominal,Input,8,Right,F3,F3,
confid_zelenskyy,144,Q7f. (SHORTENED) Tell me how much confidence you have in each leader to do the right thing regarding world affairs. f. Ukrainian President Volodymyr Zelenskyy,Nominal,Input,18,Right,F2,F2,
